ioc,threat_type,threat_type_desc,ioc_type,ioc_type_desc,malware,malware_printable,malware_alias,malware_malpedia,confidence_level,first_seen,last_seen,reference,reporter
52.74.224.241:443,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),apk.hook,Hook,,https://malpedia.caad.fkie.fraunhofer.de/details/apk.hook,100,2025-02-18 00:01:23 UTC,,https://search.censys.io/hosts/52.74.224.241,DonPasci
128.90.103.206:2000,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.asyncrat,AsyncRAT,,https://malpedia.caad.fkie.fraunhofer.de/details/win.asyncrat,100,2025-02-18 00:01:16 UTC,,https://search.censys.io/hosts/128.90.103.206,DonPasci
128.90.103.206:5000,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.asyncrat,AsyncRAT,,https://malpedia.caad.fkie.fraunhofer.de/details/win.asyncrat,100,2025-02-18 00:01:16 UTC,,https://search.censys.io/hosts/128.90.103.206,DonPasci
206.123.150.192:2405,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.remcos,Remcos,"RemcosRAT,Remvio,Socmer",https://malpedia.caad.fkie.fraunhofer.de/details/win.remcos,100,2025-02-18 00:00:46 UTC,,https://search.censys.io/hosts/206.123.150.192,DonPasci
http://cj98865.tw1.ru/6daefec2.php,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),win.dcrat,DCRat,DarkCrystal RAT,https://malpedia.caad.fkie.fraunhofer.de/details/win.dcrat,100,2025-02-17 22:05:09 UTC,,,abuse_ch
185.7.214.51:420,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 21:42:15 UTC,,,Bitsight
194.146.47.231:1604,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.darkcomet,DarkComet,"Breut,Fynloski,klovbot",https://malpedia.caad.fkie.fraunhofer.de/details/win.darkcomet,50,2025-02-17 21:40:18 UTC,,https://www.shodan.io/host/194.146.47.231#1604,juroots
120.26.1.102:80,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.cobalt_strike,Cobalt Strike,"Agentemis,BEACON,CobaltStrike,cobeacon",https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,50,2025-02-17 21:40:14 UTC,,https://www.shodan.io/host/120.26.1.102#80,juroots
185.215.113.51:80,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),ip:port,ip:port combination that delivery a malware payload,win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 21:31:22 UTC,,https://app.any.run/tasks/623e9dca-1436-498a-b4d4-40cbe4af1243,ventoy
193.143.1.5:423,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 21:16:34 UTC,,,Bitsight
nestlecompany.world,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 21:09:39 UTC,,https://app.any.run/tasks/6a6eefe1-8cd2-4e5c-9ba6-da65a0aba1c5,pitachu
bellthinkyj28.help,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 21:07:05 UTC,,,RacWatchin8872
patchpreseh.help,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 21:07:05 UTC,,,RacWatchin8872
185.147.125.147:424,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 21:04:12 UTC,,,Bitsight
https://bellthinkyj28.help/api,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 20:59:30 UTC,,,RacWatchin8872
https://patchpreseh.help/api,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 20:59:30 UTC,,,RacWatchin8872
185.147.125.146:426,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 20:58:12 UTC,,,Bitsight
70.31.125.14:2222,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.qakbot,QakBot,"Oakboat,Pinkslipbot,Qbot,Quakbot",https://malpedia.caad.fkie.fraunhofer.de/details/win.qakbot,75,2025-02-17 20:46:36 UTC,,,abuse_ch
5.83.218.75:8080,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.sliver,Sliver,,https://malpedia.caad.fkie.fraunhofer.de/details/win.sliver,75,2025-02-17 20:46:21 UTC,,,abuse_ch
23.97.56.187:8888,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.sliver,Sliver,,https://malpedia.caad.fkie.fraunhofer.de/details/win.sliver,75,2025-02-17 20:45:35 UTC,,,abuse_ch
172.111.160.104:443,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.deimos_c2,DeimosC2,,https://malpedia.caad.fkie.fraunhofer.de/details/win.deimos_c2,75,2025-02-17 20:44:07 UTC,,,abuse_ch
159.223.157.44:443,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.eye_pyramid,Eye Pyramid,,https://malpedia.caad.fkie.fraunhofer.de/details/win.eye_pyramid,75,2025-02-17 20:43:55 UTC,,,abuse_ch
13.37.236.177:52959,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.netsupportmanager_rat,NetSupportManager RAT,NetSupport,https://malpedia.caad.fkie.fraunhofer.de/details/win.netsupportmanager_rat,75,2025-02-17 20:43:34 UTC,,,abuse_ch
pgldrop24.pro,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),domain,Domain name that delivers a malware payload,win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 20:13:08 UTC,,https://app.any.run/tasks/8440262a-3500-43b7-9b6a-60606e092522,ventoy
balancedzlife.tech,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),domain,Domain name that delivers a malware payload,win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 20:07:42 UTC,,https://app.any.run/tasks/eb89da90-0650-4e6f-9432-86a3bf4ef32f,ventoy
13.38.4.197:18245,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.netsupportmanager_rat,NetSupportManager RAT,NetSupport,https://malpedia.caad.fkie.fraunhofer.de/details/win.netsupportmanager_rat,100,2025-02-17 20:01:32 UTC,,https://search.censys.io/hosts/13.38.4.197,DonPasci
157.20.182.32:4449,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.venom,Venom RAT,,https://malpedia.caad.fkie.fraunhofer.de/details/win.venom,100,2025-02-17 20:01:30 UTC,,https://search.censys.io/hosts/157.20.182.32,DonPasci
79.198.171.227:4785,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.quasar_rat,Quasar RAT,"CinaRAT,QuasarRAT,Yggdrasil",https://malpedia.caad.fkie.fraunhofer.de/details/win.quasar_rat,100,2025-02-17 20:01:26 UTC,,https://search.censys.io/hosts/79.198.171.227,DonPasci
ec2-18-143-214-68.ap-southeast-1.compute.amazonaws.com,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),apk.hook,Hook,,https://malpedia.caad.fkie.fraunhofer.de/details/apk.hook,100,2025-02-17 20:01:25 UTC,,https://search.censys.io/hosts/18.143.214.68+ec2-18-143-214-68.ap-southeast-1.compute.amazonaws.com,DonPasci
13.213.149.14:80,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),apk.hook,Hook,,https://malpedia.caad.fkie.fraunhofer.de/details/apk.hook,100,2025-02-17 20:01:24 UTC,,https://search.censys.io/hosts/13.213.149.14,DonPasci
179.13.9.42:8808,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.asyncrat,AsyncRAT,,https://malpedia.caad.fkie.fraunhofer.de/details/win.asyncrat,100,2025-02-17 20:01:19 UTC,,https://search.censys.io/hosts/179.13.9.42,DonPasci
192.30.241.217:8808,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.asyncrat,AsyncRAT,,https://malpedia.caad.fkie.fraunhofer.de/details/win.asyncrat,100,2025-02-17 20:01:19 UTC,,https://search.censys.io/hosts/192.30.241.217,DonPasci
23.97.56.187:443,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.sliver,Sliver,,https://malpedia.caad.fkie.fraunhofer.de/details/win.sliver,100,2025-02-17 20:00:54 UTC,,https://search.censys.io/hosts/23.97.56.187,DonPasci
www.pinkandgreen87.info,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),win.remcos,Remcos,"RemcosRAT,Remvio,Socmer",https://malpedia.caad.fkie.fraunhofer.de/details/win.remcos,100,2025-02-17 20:00:50 UTC,,https://search.censys.io/hosts/176.65.134.7+www.pinkandgreen87.info,DonPasci
196.251.118.49:2404,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.remcos,Remcos,"RemcosRAT,Remvio,Socmer",https://malpedia.caad.fkie.fraunhofer.de/details/win.remcos,100,2025-02-17 20:00:50 UTC,,https://search.censys.io/hosts/196.251.118.49,DonPasci
181.131.219.42:2404,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.remcos,Remcos,"RemcosRAT,Remvio,Socmer",https://malpedia.caad.fkie.fraunhofer.de/details/win.remcos,100,2025-02-17 20:00:49 UTC,,https://search.censys.io/hosts/181.131.219.42,DonPasci
192.3.243.143:6878,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.remcos,Remcos,"RemcosRAT,Remvio,Socmer",https://malpedia.caad.fkie.fraunhofer.de/details/win.remcos,100,2025-02-17 20:00:49 UTC,,https://search.censys.io/hosts/192.3.243.143,DonPasci
196.251.89.152:80,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.cobalt_strike,Cobalt Strike,"Agentemis,BEACON,CobaltStrike,cobeacon",https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,100,2025-02-17 20:00:32 UTC,,https://search.censys.io/hosts/196.251.89.152,DonPasci
196.251.118.160:8443,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.cobalt_strike,Cobalt Strike,"Agentemis,BEACON,CobaltStrike,cobeacon",https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,100,2025-02-17 20:00:32 UTC,,https://search.censys.io/hosts/196.251.118.160,DonPasci
gratefulheartx.tech,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),domain,Domain name that delivers a malware payload,win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 19:45:20 UTC,,https://app.any.run/tasks/4b5a0f53-acc0-4805-bf97-2c4c25e4c4e9,ventoy
193.143.1.5:431,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 19:31:54 UTC,,,Bitsight
tattoobg.com,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),osx.amos,AMOS,Atomic macOS Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/osx.amos,100,2025-02-17 19:31:28 UTC,,,anonymous
https://check.hbskw.icu/gkcxv.google,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),url,URL that delivers a malware payload,js.clearfake,ClearFake,,https://malpedia.caad.fkie.fraunhofer.de/details/js.clearfake,100,2025-02-17 19:22:45 UTC,,,anonymous
impactsupport.world,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),domain,Domain name that delivers a malware payload,win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 19:22:12 UTC,,https://app.any.run/tasks/9d0bead3-c60a-4b9b-9301-e096ae3bbc0d,ventoy
185.147.125.146:431,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 19:21:44 UTC,,,Bitsight
check.hbskw.icu,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),domain,Domain name that delivers a malware payload,js.clearfake,ClearFake,,https://malpedia.caad.fkie.fraunhofer.de/details/js.clearfake,100,2025-02-17 19:19:08 UTC,,,threatcat_ch
185.7.214.51:417,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 19:08:11 UTC,,,Bitsight
check.pvhqg.icu,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),domain,Domain name that delivers a malware payload,js.clearfake,ClearFake,,https://malpedia.caad.fkie.fraunhofer.de/details/js.clearfake,100,2025-02-17 19:06:37 UTC,,,threatcat_ch
https://check.pvhqg.icu/gkcxv.google,payload_delivery,Indicator that identifies a malware distribution server (payload delivery),url,URL that delivers a malware payload,js.clearfake,ClearFake,,https://malpedia.caad.fkie.fraunhofer.de/details/js.clearfake,100,2025-02-17 19:06:37 UTC,,,anonymous
51.8.133.234:3333,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),unknown,Unknown malware,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown,50,2025-02-17 19:05:40 UTC,,https://www.shodan.io/host/51.8.133.234#3333,juroots
13.232.126.176:636,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.netsupportmanager_rat,NetSupportManager RAT,NetSupport,https://malpedia.caad.fkie.fraunhofer.de/details/win.netsupportmanager_rat,50,2025-02-17 19:05:13 UTC,,https://www.shodan.io/host/13.232.126.176#636,juroots
43.165.133.147:80,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.cobalt_strike,Cobalt Strike,"Agentemis,BEACON,CobaltStrike,cobeacon",https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,50,2025-02-17 19:04:50 UTC,,https://www.shodan.io/host/43.165.133.147#80,juroots
https://marketcalendar.icu/art.php,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),unknown,Unknown malware,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown,100,2025-02-17 19:03:18 UTC,,,abuse_ch
https://windowart.xyz/art.php,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),unknown_loader,Unknown Loader,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown_loader,100,2025-02-17 19:02:40 UTC,,,abuse_ch
https://poisonstone.icu/art.php,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),unknown_loader,Unknown Loader,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown_loader,100,2025-02-17 19:02:15 UTC,,,abuse_ch
https://cellaradvertisement.icu/art.php,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),unknown_loader,Unknown Loader,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown_loader,100,2025-02-17 19:00:25 UTC,,,abuse_ch
lqalmpkebwpvdaf.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:04 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
jlltk5azih351g4.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:04 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
mieuyyzbv334s.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:03 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
3dijvbhfyutu34j.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:02 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
adanddcdjbdefml.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:01 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
yxrqxlvregipunw.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:01 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
hikcjbiklgabbfh.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:00 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
mgkwjihehqcknbp.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:51:00 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
amgfcnadnlkmlmd.top,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),js.mints_loader,MintsLoader,,https://malpedia.caad.fkie.fraunhofer.de/details/js.mints_loader,100,2025-02-17 18:50:59 UTC,,https://x.com/RussianPanda9xx/status/1891504671300153591,DaveLikesMalwre
185.147.125.145:419,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 18:50:59 UTC,,,Bitsight
185.147.125.146:430,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 18:50:59 UTC,,,Bitsight
185.147.125.147:421,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 18:50:58 UTC,,,Bitsight
e4fdc0d3-eebe-4297-bc15-780796d8c861.cyqfuy.shop,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),win.lumma,Lumma Stealer,LummaC2 Stealer,https://malpedia.caad.fkie.fraunhofer.de/details/win.lumma,100,2025-02-17 18:50:58 UTC,,,DaveLikesMalwre
193.143.1.5:428,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 18:50:57 UTC,,,Bitsight
193.143.1.5:426,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 18:50:57 UTC,,,Bitsight
185.42.12.45:427,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-17 18:50:56 UTC,,,Bitsight
40126b1b3c6f86194fc554cdba3cb5d3,payload,Indicator that identifies a malware sample (payload),md5_hash,MD5 hash of a malware sample (payload),unknown,Unknown malware,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown,50,2025-02-17 18:50:55 UTC,,,TheRavenFile
296cca79bbb3ca764de8fcdc2070ecc2,payload,Indicator that identifies a malware sample (payload),md5_hash,MD5 hash of a malware sample (payload),unknown,Unknown malware,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown,50,2025-02-17 18:50:55 UTC,,,TheRavenFile
15634dc79981e7fba25fb8530cedb981,payload,Indicator that identifies a malware sample (payload),md5_hash,MD5 hash of a malware sample (payload),unknown,Unknown malware,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown,50,2025-02-17 18:50:54 UTC,,,TheRavenFile
6c755a742f2b2e5c1820f57d0338365f,payload,Indicator that identifies a malware sample (payload),md5_hash,MD5 hash of a malware sample (payload),unknown,Unknown malware,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown,50,2025-02-17 18:50:53 UTC,,,TheRavenFile
